	67	Microcebus_murinus (Mouse lemur/)
Btau_2.0	67	Bos_taurus (Cow/Btau_2.0)
NCBI26	67	Homo_sapiens (Human/NCBI26)
CAT	67	Felis_catus (Cat/CAT)
TENREC	67	Echinops_telfairi (Tenrec/TENREC)
WS200	67	Caenorhabditis_elegans (C.elegans/WS200)
AnoCar1.0	67	Anolis_carolinensis (Anole lizard/AnoCar1.0)
Nleu1.0	67	Nomascus_leucogenys (Gibbon/Nleu1.0)
Meug_1.0	67	Macropus_eugenii (Wallaby/Meug_1.0)
C_jacchus3.2.1	67	Callithrix_jacchus (Marmoset/C_jacchus3.2.1)
CHIMP2.1	67	Pan_troglodytes (Chimp/CHIMP2.1)
WS190	67	Caenorhabditis_elegans (C.elegans/WS190)
dipOrd1	67	Dipodomys_ordii (Kangaroo rat/dipOrd1)
AnoCar2.0	67	Anolis_carolinensis (Anole lizard/AnoCar2.0)
ACME0.1	67	None (None/ACME0.1)
CEL95	67	Caenorhabditis_elegans (C.elegans/CEL95)
CEL93	67	Caenorhabditis_elegans (C.elegans/CEL93)
DEVIL7.0	67	Sarcophilus_harrisii (Tasmanian Devil/DEVIL7.0)
CEL98	67	Caenorhabditis_elegans (C.elegans/CEL98)
CEL102	67	Caenorhabditis_elegans (C.elegans/CEL102)
TREESHREW	67	Tupaia_belangeri (Tree Shrew/TREESHREW)
NCBI31	67	Homo_sapiens (Human/NCBI31)
NCBI30	67	Homo_sapiens (Human/NCBI30)
NCBI33	67	Homo_sapiens (Human/NCBI33)
NCBI35	67	Homo_sapiens (Human/NCBI35)
NCBI34	67	Homo_sapiens (Human/NCBI34)
turTru1	67	Tursiops_truncatus (Bottlenose dolphin/turTru1)
NCBI36	67	Homo_sapiens (Human/NCBI36)
UMD3.1	67	Bos_taurus (Cow/UMD3.1)
speTri1	67	Spermophilus_tridecemlineatus (Ground Squirrel/speTri1)
GRCh37	67	Homo_sapiens (Human/GRCh37)
CHIMP1A	67	Pan_troglodytes (Chimp/CHIMP1A)
WB170	67	Caenorhabditis_elegans (C.elegans/WB170)
FUGU1	67	Takifugu_rubripes (Fugu/FUGU1)
FUGU2	67	Takifugu_rubripes (Fugu/FUGU2)
NCBIM34	67	Mus_musculus (Mouse/NCBIM34)
DROM3A	67	Drosophila_melanogaster (Fly/DROM3A)
tarSyr1	67	Tarsius_syrichta (Tarsier/tarSyr1)
CBR25	67	Caenorhabditis_briggsae (C.briggsae/CBR25)
BROADO5	67	Monodelphis_domestica (Opossum/BROADO5)
BROADO2	67	Monodelphis_domestica (Opossum/BROADO2)
BROADO3	67	Monodelphis_domestica (Opossum/BROADO3)
BDGP5.13	67	Drosophila_melanogaster (Fly/BDGP5.13)
MMUL_0_1	67	Macaca_mulatta (Macaque/MMUL_0_1)
