# tool-id <tab> bio.tools-id
abyss-pe	abyss
bedtools_mergebedgraph	bedtools
bedtools_genomecoveragebed_histogram	bedtools
varscan_somatic	varscan
varscan_copynumber	varscan
bcftools_csq	bcftools
bcftools_cnv	bcftools
bcftools_consensus	bcftools
bcftools_norm	bcftools
bcftools_call	bcftools
vcfcheck	vcflib
vcffilter2	vcflib
vcfselectsamples	vcflib
vcfannotategenotypes	vcflib
vcfflatten2	vcflib
vcfcommonsamples	vcflib
vcfannotate	vcflib
vcfvcfintersect	vcflib
vcfbreakcreatemulti	vcflib
vcfallelicprimitives	vcflib
vcfgeno2haplo	vcflib
vcffixup	vcflib
vcfgenotypes	vcflib
vcfbedintersect	vcflib
vcfrandomsample	vcflib
vcfhethom	vcflib
vcfsort	vcflib
vcfprimers	vcflib
vcfcombine	vcflib
vcfleftalign	vcflib
vcf2tsv	vcflib
vcfaddinfo	vcflib
varscan	varscan
varscan_mpileup	varscan
bcfview	bcftools
freebayes	freebayes
vcfdistance	vcflib
snippy	snippy
snippy_core	snippy
bamleftalign	freebayes
vcfdistance	vcflib
vcftools_merge	vcftools
vcftools_isec	vcftools
vt_normalize	vt
vcftools_compare	vcftools
vcftools_annotate	vcftools
vcftools_slice	vcftools
vcftools_subset	vcftools
medaka_variant_pipeline	medaka
medaka_variant	medaka
medaka_consensus	medaka
ngmlr	ngmlr
medaka_consensus_pipeline	medaka
nanocompore_db	Nanocompore
nanoplot	nanoplot
nanopolish_polya	nanopolish
nanopolish_eventalign	nanopolish
nanopolish_methylation	nanopolish
nanopolish_variants	nanopolish
nanocompore_sampcomp	Nanocompore
nanopolishcomp_freqmethcalculate	nanopolish
nanopolishcomp_eventaligncollapse	nanopolish
poretools_times	poretools
poretools_nucdist	poretools
poretools_qualdist	poretools
poretools_extract	poretools
poretools_tabular	poretools
poretools_stats	poretools
poretools_squiggle	poretools
poretools_occupancy	poretools
poretools_hist	poretools
poretools_yield_plot	poretools
poretools_qualpos	poretools
poretools_winner	poretools
poretools_events	poretools
gops_complement_1	bx-python
gops_cluster_1	bx-python
gops_basecoverage_1	bx-python
Annotation_Profiler_0	bx-python
translate_bed	biopython
gops_concat_1	bx-python
gops_join_1	bx-python
translate_bed_sequences	biopython
Extract genomic DNA 1	bx-python
fraggenescan	fraggenescan
repeatmodeler	repeatmodeler
promoter2	promoter
Psortb	psortb
signalp3	signalp
tmhmm2	tmhmm
wolf_psort	wolf_psort
tbvcfreport	combat-tb_workbench
tb_profiler_profile	tb-profiler
homer_annotatePeaks	homer
funannotate_annotate	funannotate
funannotate_predict	funannotate
tb_variant_filter	combat-tb_workbench
augustus_training	augustus
augustus	augustus
chipseeker	chipseeker
spotyping	spotyping
hmmer_hmmbuild	hmmer3
hmmer_hmmscan	hmmer3
annotatemyids	annotatemyids
mitos2	mitos
sistr_cmd	SISTR
hhsearch	hhsuite
optitype	optitype
hmmer_nhmmer	hmmer3
hmmer_phmmer	hmmer3
hmmer_jackhmmer	hmmer3
hmmer_nhmmscan	hmmer3
hmmer_hmmsearch	hmmer3
tbl2gff3	tbl2gff3
hmmer_hmmemit	hmmer3
hmmer_hmmalign	hmmer3
homer_gtf_to_annotations	homer
funannotate_clean	funannotate
funannotate_sort	funannotate
funannotate_compare	funannotate
hmmer_hmmfetch	hmmer3
hmmer_alimask	hmmer3
hmmer_hmmconvert	hmmer3
mob_recon	mob-suite
mob_typer	mob-suite
seq2hla	seq2hla
mitos	mitos
ectyper	ectyper
antismash	antismash
xmfa2gff3	mauve
mlst_list	mlst
mlst	mlst
exonerate	exonerate
fastani	fastani
kobas_annotate	kobas
kobas_identify	kobas
gprofiler_snpense	gprofiler
gprofiler_random	gprofiler
gprofiler_gost	gprofiler
gprofiler_orth	gprofiler
gprofiler_convert	gprofiler
blastxml_to_gapped_gff3	blastxml_to_gapped_gff3
snap_training	snap
fgsea	fgsea
bg_sortmerna	sortmerna
goslimmer	goenrichment
goenrichment	goenrichment
hammock_1.0	hammock
picrust_metagenome_contributions	picrust
picrust_format_tree_and_trait_table	picrust
picrust_compare_biom	picrust
picrust_predict_metagenomes	picrust
picrust_categorize	picrust
trnascan	trnascan-se
aragorn_trna	aragorn
transtermhp	transtermhp
gubbins	gubbins
Probmetab	probmetab
lcmsmatching	workflow4metabolomics
blast2go	blast2go
hmmer_nhmmer	hmmer3
hmmer_hmmsearch	hmmsearch
hmmer_hmmconvert	hmmsearch
hmmer_hmmfetch	hmmsearch
hmmer_jackhmmer	hmmsearch
hmmer_alimask	hmmsearch
hmmer_hmmscan	hmmsearch
hmmer_nhmmscan	hmmsearch
hmmer_hmmemit	hmmsearch
hmmer_phmmer	hmmsearch
hmmer_hmmalign	hmmsearch
hmmer_hmmbuild	hmmsearch
rbc_gotohscan	GotohScan
CryptoGenotyper	CryptoGenotyper
rbc_mafft_add	MAFFT
rbc_mafft	MAFFT
clustalw	clustalw
sina	sina
gecko	gecko
hammock_1.0	hammock
muscle	muscle
raven	raven
spades_coronaspades	coronaspades
spades_plasmidspades	plasmidspades
spades	spades
metaspades	metaspades
rnaspades	rnaspades
trycycler_cluster	trycycler
trycycler_consensus	trycycler
trycycler_partition	trycycler
trycycler_reconcile_msa	trycycler
trycycler_subsample	trycycler
flye	Flye
genomescope	GenomeScope_2.0
miniasm	miniasm
racon	Racon
lordec	lordec
shasta	shasta
idba_tran	idba
unicycler	unicycler
idba_ud	idba
idba_hybrid	idba
velvetoptimiser	velvetoptimiser
pilon	pilon
wtdbg	wtdbg2
mira_assembler	mira
edena_ass_wrapper	edena
edena_ovl_wrapper	edena
sopra_wpc	sopra
ssake	ssake
minced	minced
bbtools_bbmap	bbmap
kma_map	kma
hisat2	hisat2
bwa_mem	bwa
lastz_paired_reads_wrapper	lastz
bowtie_wrapper	bowtie
bismark_bowtie2	bismark
star_fusion	star-fusion
bismark_deduplicate	bismark
bismark_pretty_report	bismark
bismark_methylation_extractor	bismark
segemehl	segemehl
bismark_bowtie	bismark
bwa	bwa
tophat2	tophat2
pharmcat	pharmcat
varscan_somatic	varscan
varscan_copynumber	varscan
varscan_mpileup	varscan
delly_classify	delly2
deepvariant	deepvariant
snippy_core	snippy
snippy	snippy
snippy_clean_full_aln	snippy
lumpy_sv	lumpy
beagle	beagle
irissv	iris
jasminesv	jasmine-sv
strelka_germline	strelka
strelka_somatic	strelka
lumpy_prep	lumpy
vardict_java	vardict
artic_guppyplex	artic
snpSift_filter	snpsift
lofreq_filter	lofreq
lofreq_call	lofreq
cutesv	cuteSV
sniffles	sniffles
snpeff_sars_cov_2	snpeff
lofreq_viterbi	lofreq
lofreq_alnqual	lofreq
lofreq_indelqual	lofreq
odgi_viz	odgi
odgi_build	odgi
vg_view	vg
vg_deconstruct	vg
vg_convert	vg
snpEff_get_chr_names	snpeff
exomedepth	exomedepth
snpEff_build_gb	snpeff
mixcr_analyze	mixcr
snpEff_databases	snpeff
snpEff_download	snpeff
snpSift_int	snpsift
snpSift_rmInfo	snpsift
snpSift_annotate	snpsift
snpsift_vartype	snpsift
snpSift_caseControl	snpsift
snpSift_extractFields	snpsift
snpSift_vcfCheck	snpsift
snpEff	snpeff
snpSift_geneSets	snpsift
snpSift_dbnsfp	snpsift
snpSift_dbnsfp_generic	snpsift
SnpEff-cds-report	snpeff
snpeff_to_peptides	snpeff
snpSift_int	snpsift
snpSift_annotate	snpsift
snpSift_filter	snpsift
snpSift_caseControl	snpsift
mageck_test	mageck
mageck_mle	mageck
mageck_gsea	mageck
mageck_count	mageck
mageck_pathway	mageck
plotdexseq	dexseq
seurat	seurat
alleyoop	SLAM-DUNK
slamdunk	SLAM-DUNK
cuffmerge	cufflinks
salmonquantmerge	salmon
egsea	egsea
targetfinder	targetfinder.org
migmap	MiGMAP
kallisto_pseudo	kallisto
kallisto_quant	kallisto
ruvseq	ruvseq
salmon	salmon
genomic_super_signature	genomicsupersignature
express	express
masigpro	masigpro
cufflinks	cufflinks
cuffdiff	cuffdiff
cuffcompare	cuffcompare
scpipe	scpipe
cuffnorm	cufflinks
cummeRbund	cummerbund
htseq_count	htseqcount
graphprot_predict_profile	graphprot
heinz_visualization	heinz
qualimap_counts	qualimap
qualimap_rnaseq	qualimap
bg_sortmerna	sortmerna
glassgo	glassgo
intarna	intarna
trinity_analyze_diff_expr	trinity
rnaz_cluster	rnaz
dr_disco_classify	dr_disco
dr_disco_fix	dr_disco
dr_disco_bam_extract	dr_disco
dr_disco_integrate	dr_disco
dr_disco_detect	dr_disco
mea	mea
rnaz_randomize_aln	rnaz
rnaz_select_seqs	rnaz
rnaz_window	rnaz
rnaz_annotate	rnaz
locarna_multiple	locarna
ribotaper_create_metaplots	ribotaper
ribotaper_ribosome_profiling	ribotaper
ribotaper_create_annotation	ribotaper
pipmir	pipmir
nastiseq	nastiseq
flaimapper	flaimapper
AREsite2_REST	aresite
fuma	fuma
RNAlien	rnalien
trinity_samples_qccheck	trinity
describe_samples	trinity
trinity_define_clusters_by_cutting_tree	trinity
rseqc_geneBody_coverage	resqc
heinz_bum	heinz
heinz	heinz
heinz_scoring	heinz
pizzly	pizzly
rcas	rcas
rseqc_geneBody_coverage2	rseqc
rseqc_RPKM_saturation	rseqc
rseqc_infer_experiment	rseqc
rseqc_RNA_fragment_size	rseqc
rseqc_tin	rseqc
rseqc_junction_saturation	rseqc
rseqc_FPKM_count	rseqc
rseqc_read_distribution	rseqc
rseqc_junction_annotation	rseqc
rseqc_inner_distance	rseqc
rnaz	rnaz
RNAshapes	rnashpaes
viennarna_rnafold	vienna_rna_package
idr	idr
viennarna_rnacofold	vienna_rna_package
viennarna_rnaalifold	vienna_rna_package
rseqc_deletion_profile	rseqc
rseqc_read_NVC	rseqc
rseqc_bam_stat	rseqc
rseqc_read_duplication	rseqc
rseqc_read_GC	rseqc
rseqc_insertion_profile	rseqc
rseqc_bam2wig	rseqc
rseqc_clipping_profile	rseqc
rseqc_read_quality	resqc
rseqc_read_hexamer	resqc
rseqc_mismatch_profile	resqc
segemehl	segemehl
sailfish	sailfish
cuffquant	cufflinks
viennarna_rnaeval	viennarna
viennarna_rnaplex	viennarna
viennarna_rna2dfold	viennarna
viennarna_rnapaln	viennarna
viennarna_rnaplot	viennarna
viennarna_rnasnoop	viennarna
viennarna_kinfold	viennarna
viennarna_rnaaliduplex	viennarna
viennarna_rnaduplex	viennarna
viennarna_rnadistance	viennarna
viennarna_rnadpdist	viennarna
viennarna_rnalfold	viennarna
viennarna_rnapkplex	viennarna
viennarna_rnaup	viennarna
viennarna_rnalalifold	viennarna
viennarna_rnainverse	viennarna
viennarna_rnaheat	viennarna
viennarna_rnasubopt	viennarna
rnasnp	rnasnp
mlocarna	locarna
paralyzer	paralyzer
rbc_rnacommender	rnacommender
rseqc_RPKM_count	rseqc
tophat_fusion_post	tophat-fusion
blockbuster	blockbuster
rbc_kinwalker	kinwalker
antarna	antarna
cummerbund_to_cuffdiff	cummerbund
rbc_mirdeep2_mapper	mirdeep2
rbc_mirdeep2_quantifier	mirdeep2
rbc_mirdeep2	mirdeep2
rsem_prepare_reference	rsem
rsem_calculate_expression	rsem
extract_transcript_to_gene_map_from_trinity	rsem
peakcalling_ccat	ccat
peakcalling_macs	macs
peakcalling_sicer	sicer
diffbind	diffbind
peakachu	peakachu
jamm	jamm
piranha	piranha-peak
pileometh	methyldackel
minfi_ppquantile	ewastools
minfi_rset	ewastools
minfi_dropsnp	ewastools
minfi_mset	ewastools
minfi_read450k	ewastools
minfi_ppfun	ewastools
minfi_dmp	ewastools
minfi_dmr	ewastools
minfi_getcn	ewastools
minfi_getbeta	ewastools
minfi_getsnp	ewastools
minfi_maptogenome	ewastools
minfi_getM	ewastools
minfi_qc	ewastools
minfi_analysis	ewastools
hicup_truncater	hicup
hicup_hicup	hicup
hicup_filter	hicup
hicup_digester	hicup
hicup_deduplicator	hicup
hicup_mapper	hicup
hyphy_cfel	HyPhy
hyphy_strike_ambigs	HyPhy
hyphy_conv	HyPhy
nextclade	nextstrain.org
hyphy_summary	HyPhy
hyphy_annotate	HyPhy
t_coffee	tcoffee
raxml	raxml
gstf_preparation	geneseqtofamily
phyml	phyml
blast_parser	blast
hgv_hilbertvis	hilbertvis
ctdBatch_1	ctd
music_construct_eset	popmusic
music_deconvolution	popmusic
music_compare	popmusic
alevin	Alevin
music_inspect_eset	popmusic
dropletutils_read_10x	dropletutils
dropletutils_empty_drops	dropletutils
ip_slice_image	scikit-image
scanpy_parameter_iterator	scanpy
scater_plot_exprs_freq	scater
scater_normalize	scater
picard_CollectBaseDistributionByCycle	picard
picard_AddOrReplaceReadGroups	picard
picard_MeanQualityByCycle	picard
picard_RevertOriginalBaseQualitiesAndAddMateCigar	picard
picard_CollectHsMetrics	picard
picard_SortSam	picard
picard_RevertSam	picard
picard_FixMateInformation	picard
picard_CASM	picard
picard_NormalizeFasta	picard
picard_DownsampleSam	picard
picard_MergeBamAlignment	picard
picard_MarkDuplicatesWithMateCigar	picard
picard_CleanSam	picard
picard_MergeSamFiles	picard
picard_MarkDuplicates	picard
picard_ValidateSamFile	picard
picard_QualityScoreDistribution	picard
picard_CollectRnaSeqMetrics	picard
picard_BedToIntervalList	picard
picard_CollectWgsMetrics	picard
picard_artifact_metrics	picard
picard_CollectGcBiasMetrics	picard
picard_FilterSamReads	picard
picard_AddCommentsToBam	picard
picard_EstimateLibraryComplexity	picard
picard_CollectInsertSizeMetrics	picard
PicardASMetrics	picard
picard_BamIndexStats	picard
picard_ARRG	picard
rgEstLibComp	picard
PicardInsertSize	picard
rgPicFixMate	picard
deeptools_bam_compare	deeptools
deeptools_bam_pe_fragmentsize	deeptools
deeptools_multi_bam_summary	deeptools
deeptools_compute_matrix	deeptools
deeptools_plot_enrichment	deeptools
deeptools_bam_coverage	deeptools
deeptools_bigwig_compare	deeptools
deeptools_plot_heatmap	deeptools
deeptools_correct_gc_bias	deeptools
deeptools_alignmentsieve	deeptools
deeptools_compute_matrix_operations	deeptools
deeptools_plot_fingerprint	deeptools
deeptools_plot_coverage	deeptools
deeptools_plot_correlation	deeptools
deeptools_plot_profile	deeptools
deeptools_multi_bigwig_summary	deeptools
deeptools_compute_gc_bias	deeptools
deeptools_plot_pca	deeptools
deeptools_estimatereadfiltering	deeptools
hicup_deduplicator	hicup
gemini_query	gemini
gemini_annotate	gemini
gemini_load	gemini
scanpy_parameter_iterator	scanpy
scater_plot_exprs_freq	scater
scater_normalize	scater
picard_CollectBaseDistributionByCycle	picard_tools
picard_AddOrReplaceReadGroups	picard_tools
picard_MeanQualityByCycle	picard_tools
picard_RevertOriginalBaseQualitiesAndAddMateCigar	picard_tools
picard_CollectHsMetrics	picard_tools
picard_SortSam	picard_tools
picard_RevertSam	picard_tools
picard_FixMateInformation	picard_tools
picard_CASM	picard_tools
picard_NormalizeFasta	picard_tools
picard_DownsampleSam	picard_tools
picard_MergeBamAlignment	picard_tools
picard_MarkDuplicatesWithMateCigar	picard_tools
picard_CleanSam	picard_tools
picard_MergeSamFiles	picard_tools
picard_MarkDuplicates	picard_tools
picard_ValidateSamFile	picard_tools
picard_QualityScoreDistribution	picard_tools
picard_CollectRnaSeqMetrics	picard_tools
picard_BedToIntervalList	picard_tools
picard_CollectWgsMetrics	picard_tools
picard_artifact_metrics	picard_tools
picard_CollectGcBiasMetrics	picard_tools
picard_FilterSamReads	picard_tools
picard_AddCommentsToBam	picard_tools
picard_EstimateLibraryComplexity	picard_tools
picard_CollectInsertSizeMetrics	picard_tools
PicardASMetrics	picard_tools
picard_BamIndexStats	picard_tools
picard_ARRG	picard_tools
rgEstLibComp	picard_tools
PicardInsertSize	picard_tools
rgPicFixMate	picard_tools
deeptools_bam_compare	deeptools
deeptools_bam_pe_fragmentsize	deeptools
deeptools_multi_bam_summary	deeptools
deeptools_compute_matrix	deeptools
deeptools_plot_enrichment	deeptools
deeptools_bam_coverage	deeptools
deeptools_bigwig_compare	deeptools
deeptools_plot_heatmap	deeptools
deeptools_correct_gc_bias	deeptools
deeptools_alignmentsieve	deeptools
deeptools_compute_matrix_operations	deeptools
deeptools_plot_fingerprint	deeptools
deeptools_plot_coverage	deeptools
deeptools_plot_correlation	deeptools
deeptools_plot_profile	deeptools
deeptools_multi_bigwig_summary	deeptools
deeptools_compute_gc_bias	deeptools
deeptools_plot_pca	deeptools
deeptools_estimatereadfiltering	deeptools
hicup_deduplicator	hicup
gemini_query	gemini
gemini_annotate	gemini
gemini_load	gemini
gemini_db_info	gemini
gemini_pathways	gemini
gemini_windower	gemini
gemini_inheritance	gemini
gemini_interactions	gemini
gemini_qc	gemini
gemini_set_somatic	gemini
gemini_roh	gemini
gemini_fusions	gemini
gemini_lof_sieve	gemini
gemini_actionable_mutations	gemini
gemini_amend	gemini
gemini_stats	gemini
gemini_gene_wise	gemini
gemini_burden	gemini
EMBOSS: pepwheel72	emboss
EMBOSS: wordcount109	emboss
EMBOSS: trimest102	emboss
EMBOSS: pepwindow73	emboss
EMBOSS: pepwindowall74	emboss
EMBOSS: charge8	emboss
EMBOSS: degapseq20	emboss
EMBOSS: infoseq46	emboss
EMBOSS: splitter92	emboss
EMBOSS: skipseq91	emboss
EMBOSS: needle56	emboss
EMBOSS: patmatdb67	emboss
EMBOSS: marscan49	emboss
EMBOSS: water107	emboss
EMBOSS: getorf42	emboss
EMBOSS: lindna48	emboss
EMBOSS: msbar55	emboss
EMBOSS: oddcomp64	emboss
EMBOSS: fuzztran39	emboss
EMBOSS: tcode97	emboss
EMBOSS: pepcoil68	emboss
EMBOSS: helixturnhelix43	emboss
EMBOSS: iep45	emboss
EMBOSS: merger54	emboss
EMBOSS: equicktandem31	emboss
EMBOSS: newcpgseek58	emboss
EMBOSS: extractseq35	emboss
EMBOSS: dreg27	emboss
EMBOSS: maskfeat50	emboss
EMBOSS: newcpgreport57	emboss
EMBOSS: codcmp12	emboss
EMBOSS: dottup26	emboss
EMBOSS: supermatcher95	emboss
EMBOSS: nthseq62	emboss
EMBOSS: primersearch81	emboss
EMBOSS: fuzznuc37	emboss
EMBOSS: cutseq18	emboss
EMBOSS: tranalign100	emboss
EMBOSS: fuzzpro38	emboss
EMBOSS: cai_custom6	emboss
EMBOSS: noreturn60	emboss
EMBOSS: dotpath25	emboss
EMBOSS: etandem33	emboss
EMBOSS: octanol63	emboss
EMBOSS: sigcleave88	emboss
EMBOSS: wobble108	emboss
EMBOSS: wordmatch110	emboss
EMBOSS: union105	emboss
EMBOSS: megamerger53	emboss
EMBOSS: preg78	emboss
EMBOSS: prettyseq80	emboss
EMBOSS: prettyplot79	emboss
EMBOSS: einverted28	emboss
EMBOSS: sixpack90	emboss
EMBOSS: syco96	emboss
EMBOSS: cpgreport16	emboss
EMBOSS: pepstats71	emboss
EMBOSS: palindrome65	emboss
EMBOSS: hmoment44	emboss
EMBOSS: twofeat104	emboss
EMBOSS: digest23	emboss
EMBOSS: extractfeat34	emboss
EMBOSS: showfeat85	emboss
EMBOSS: shuffleseq87	emboss
EMBOSS: dotmatcher24	emboss
EMBOSS: seqmatchall83	emboss
EMBOSS: matcher52	emboss
EMBOSS: revseq82	emboss
EMBOSS: plotcon75	emboss
EMBOSS: trimseq103	emboss
EMBOSS: pasteseq66	emboss
EMBOSS: est2genome32	emboss
EMBOSS: diffseq22	emboss
EMBOSS: vectorstrip106	emboss
EMBOSS: polydot77	emboss
EMBOSS: transeq101	emboss
EMBOSS: isochore47	emboss
EMBOSS: backtranseq2	emboss
EMBOSS: compseq14	emboss
EMBOSS: freak36	emboss
EMBOSS: pepinfo69	emboss
EMBOSS: checktrans9	emboss
EMBOSS: antigenic1	emboss
EMBOSS: banana3	emboss
EMBOSS: dan19	emboss
EMBOSS: epestfind29	emboss
EMBOSS: maskseq51	emboss
EMBOSS: geecee41	emboss
EMBOSS: cpgplot15	emboss
EMBOSS: notseq61	emboss
EMBOSS: seqret84	emboss
EMBOSS: plotorf76	emboss
EMBOSS: cai6	emboss
EMBOSS: btwisted5	emboss
EMBOSS: newseq59	emboss
EMBOSS: chaos7	emboss
EMBOSS: pepnet70	emboss
EMBOSS: textsearch98	emboss
EMBOSS: chips10	emboss
EMBOSS: garnier40	emboss
EMBOSS: cusp17	emboss
EMBOSS: descseq21	emboss
EMBOSS: cirdna11	emboss
EMBOSS: tmap99	emboss
EMBOSS: sirna89	emboss
EMBOSS: coderet13	emboss
EMBOSS: biosed4	emboss
blastxml_to_tabular	blast
get_species_taxids	blast
ncbi_blastdbcmd_info	blast
ncbi_blastdbcmd_wrapper	blast
ncbi_blastn_wrapper	blast
ncbi_blastp_wrapper	blast
ncbi_blastx_wrapper	blast
ncbi_convert2blastmask_wrapper	blast
ncbi_dustmasker_wrapper	blast
ncbi_makeblastdb	blast
ncbi_makeprofiledb	blast
ncbi_rpsblast_wrapper	blast
ncbi_rpstblastn_wrapper	blast
ncbi_segmasker_wrapper	blast
ncbi_tblastn_wrapper	blast
ncbi_tblastx_wrapper	blast
bbtools_bbduk	bbmap
bg_diamond	diamond
bg_diamond_makedb	diamond
bg_diamond_view	diamond
taxonomy_krona_chart	taxonomy_krona_chart
bbtools_bbmap	bbmap
bbtools_callvariants	bbmap
kraken-translate	kraken
kraken-filter	kraken
hicexplorer_hicplotviewpoint	hicexplorer
hicexplorer_hicplotmatrix	hicexplorer
hicexplorer_hicfindtads	hicexplorer
hicexplorer_hiccomparematrices	hicexplorer
hicexplorer_hicaggregatecontacts	hicexplorer
hicexplorer_hicnormalize	hicexplorer
hicexplorer_hicsummatrices	hicexplorer
hicexplorer_hicconvertformat	hicexplorer
hicexplorer_hicadjustmatrix	hicexplorer
hicexplorer_hicinfo	hicexplorer
hicexplorer_hichyperoptDetectLoops	hicexplorer
schicexplorer_schicqualitycontrol	hicexplorer
hicexplorer_chicplotviewpoint	hicexplorer
hicexplorer_chicdifferentialtest	hicexplorer
hicexplorer_chicaggregatestatistic	hicexplorer
hicexplorer_chicsignificantinteractions	hicexplorer
hicexplorer_chicviewpoint	hicexplorer
hicexplorer_hicdifferentialtad	hicexplorer
hicexplorer_hicmergedomains	hicexplorer
hicexplorer_chicqualitycontrol	hicexplorer
hicexplorer_hicfindrestrictionsites	hicexplorer
hicexplorer_chicviewpointbackgroundmodel	hicexplorer
hicexplorer_hicquickqc	hicexplorer
hicexplorer_hicbuildmatrix	hicexplorer
hicexplorer_hicmergematrixbins	hicexplorer
hicexplorer_hictransform	hicexplorer
