US-CA,North America,United States of America,California,216.43,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-CO,North America,United States of America,Colorado,582.34,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-CT,North America,United States of America,Connecticut,253,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-DC,North America,United States of America,Washington DC,382.68,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-DE,North America,United States of America,Delaware,360.68,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-FL,North America,United States of America,Florida,402.2,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-GA,North America,United States of America,Georgia,345.58,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-HI,North America,United States of America,Hawaii,731.21,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-IA,North America,United States of America,Iowa,293.85,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-ID,North America,United States of America,Idaho,101.89,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-IL,North America,United States of America,Illinois,265.8,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-IN,North America,United States of America,Indiana,740.02,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-KS,North America,United States of America,Kansas,384.08,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-KY,North America,United States of America,Kentucky,804.75,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-LA,North America,United States of America,Louisiana,363.82,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-MA,North America,United States of America,Massachusetts,420.32,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-MD,North America,United States of America,Maryland,308.21,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-ME,North America,United States of America,Maine,109,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-MI,North America,United States of America,Michigan,448.08,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-MN,North America,United States of America,Minnesota,367.93,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-MO,North America,United States of America,Missouri,773,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-MS,North America,United States of America,Mississip,427.07,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-MT,North America,United States of America,Montana,435.87,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-NC,North America,United States of America,North Carolina,309.73,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-ND,North America,United States of America,North Dakota,663.05,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-NE,North America,United States of America,Nebraska,573.51,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-NH,North America,United States of America,New Hampshire,118.44,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-NJ,North America,United States of America,New Jersey,235.1,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-NM,North America,United States of America,New Mexico,601.77,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-NV,North America,United States of America,Nevada,342.25,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-NY,North America,United States of America,New York,199.01,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-OH,North America,United States of America,Ohio,598.58,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-OK,North America,United States of America,Oklahoma,338.44,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-OR,North America,United States of America,Oregon,163.15,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-PA,North America,United States of America,Pennsylvania,333.19,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-RI,North America,United States of America,Rhode Island,395.27,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-SC,North America,United States of America,South Carolina,245.48,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-SD,North America,United States of America,South Dakota,162.69,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-TN,North America,United States of America,Tennessee,272.89,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-TX,North America,United States of America,Texas,409.16,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-UT,North America,United States of America,Utah,747.82,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-VA,North America,United States of America,Virginia,308,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-VT,North America,United States of America,Vermont,14.45,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-WA,North America,United States of America,Washington,101.84,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-WI,North America,United States of America,Wisconsin,569.39,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-WV,North America,United States of America,West Virginia,919.34,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
US-WY,North America,United States of America,Wyoming,950.5,Region,carbonfootprint (March 2022) (data from 2020 published in 2022),
AU,Oceania,Australia,Any,840,Country,carbonfootprint (June 2022 v1.1) and Australian Government (data from 2019 published in August 2021),
AU-ACT,Oceania,Australia,Australian Capital Territory,870,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-NSW,Oceania,Australia,New South Wales,870,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-NT,Oceania,Australia,Northern Territory,620,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-NT2,Oceania,Australia,Northern Territory (Darwin Katherine Interconnected System),540,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-QLD,Oceania,Australia,Queensland,920,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-SA,Oceania,Australia,South Australia,420,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-TAS,Oceania,Australia,Tasmania,180,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-VIC,Oceania,Australia,Victoria,1060,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-WA1,Oceania,Australia,Western Australia (North Western Interconnected System),580,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
AU-WA2,Oceania,Australia,Western Australia (South West Interconnected System),700,Region,carbonfootprint (March 2022) and the Australian government (data from 2019 published in 2021),
NZ,Oceania,New Zealand,Any,110.1,Country,carbonfootprint (March 2022) and Ministry for the Environment https://www.mfe.govt.nz/node/18670/ (data from 2018),"Emission factors published in 2020, based on 2018 national inventory."
AR,South America,Argentina,Any,307,Country,carbonfootprint (March 2022) and Climate Transparency (2021 Report) (data from 2020),Emissions intensity of the power sector
BR,South America,Brazil,Any,61.7,Country,carbonfootprint (March 2022) and Climate Transparency (2021 Report) (data from 2020),Emissions intensity of the power sector
UY,South America,Uruguay,Any,129,Country,https://app.electricitymaps.com/zone/UY,Data from 2021
