sg	trm	hm	xyz
15	c,a,b	A 1 1 2/a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z;x,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2
15	a,-a-c,b	B 1 1 2/n	x,y,z;-x-1/2,-y-1/2,z;-x,-y,-z;x-1/2,y-1/2,-z;x+1/2,y,z+1/2;-x,-y-1/2,z+1/2;-x+1/2,-y,-z+1/2;x,y-1/2,-z+1/2
15	-a-c,c,b	I 1 1 2/b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z;x-1/2,y-1/2,z+1/2;-x-1/2,-y,z+1/2;-x-1/2,-y-1/2,-z+1/2;x-1/2,y,-z+1/2
15	a,c,-b	B 1 1 2/b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z;x+1/2,y,z-1/2;-x+1/2,-y+1/2,z-1/2;-x+1/2,-y,-z-1/2;x+1/2,y+1/2,-z-1/2
15	-a-c,a,-b	A 1 1 2/n	x,y,z;-x-1/2,-y-1/2,z;-x,-y,-z;x-1/2,y-1/2,-z;x,y+1/2,z-1/2;-x-1/2,-y,z-1/2;-x,-y+1/2,-z-1/2;x-1/2,y,-z-1/2
15	c,-a-c,-b	I 1 1 2/a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z;x-1/2,y-1/2,z-1/2;-x,-y-1/2,z-1/2;-x-1/2,-y-1/2,-z-1/2;x,y-1/2,-z-1/2
15	b,c,a	B 2/b 1 1	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x+1/2,y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;-x+1/2,y+1/2,z+1/2
15	b,a,-a-c	C 2/n 1 1	x,y,z;x,-y-1/2,-z-1/2;-x,-y,-z;-x,y-1/2,z-1/2;x+1/2,y+1/2,z;x+1/2,-y,-z-1/2;-x+1/2,-y+1/2,-z;-x+1/2,y,z-1/2
15	b,-a-c,c	I 2/c 1 1	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2;x+1/2,y-1/2,z-1/2;x+1/2,-y-1/2,-z;-x+1/2,-y-1/2,-z-1/2;-x+1/2,y-1/2,z
15	-b,a,c	C 2/c 1 1	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z+1/2;-x-1/2,-y+1/2,-z;-x-1/2,y+1/2,z+1/2
15	-b,-a-c,a	B 2/n 1 1	x,y,z;x,-y-1/2,-z-1/2;-x,-y,-z;-x,y-1/2,z-1/2;x-1/2,y,z+1/2;x-1/2,-y-1/2,-z;-x-1/2,-y,-z+1/2;-x-1/2,y-1/2,z
15	-b,c,-a-c	I 2/b 1 1	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x-1/2,y-1/2,z-1/2;x-1/2,-y,-z-1/2;-x-1/2,-y-1/2,-z-1/2;-x-1/2,y,z-1/2
16	a,b,c	P 2 2 2	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z
17	a,b,c	P 2 2 21	x,y,z;-x,-y,z+1/2;-x,y,-z+1/2;x,-y,-z
17	c,a,b	P 21 2 2	x,y,z;x+1/2,-y,-z;-x+1/2,-y,z;-x,y,-z
17	b,c,a	P 2 21 2	x,y,z;-x,y+1/2,-z;x,-y+1/2,-z;-x,-y,z
18	a,b,c	P 21 21 2	x,y,z;-x,-y,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
18	c,a,b	P 2 21 21	x,y,z;x,-y,-z;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2
18	b,c,a	P 21 2 21	x,y,z;-x,y,-z;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2
19	a,b,c	P 21 21 21	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z
20	a,b,c	C 2 2 21	x,y,z;-x,-y,z+1/2;-x,y,-z+1/2;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z
20	c,a,b	A 21 2 2	x,y,z;x+1/2,-y,-z;-x+1/2,-y,z;-x,y,-z;x,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x,y+1/2,-z+1/2
20	b,c,a	B 2 21 2	x,y,z;-x,y+1/2,-z;x,-y+1/2,-z;-x,-y,z;x+1/2,y,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,z+1/2
21	a,b,c	C 2 2 2	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
21	c,a,b	A 2 2 2	x,y,z;x,-y,-z;-x,-y,z;-x,y,-z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2
21	b,c,a	B 2 2 2	x,y,z;-x,y,-z;x,-y,-z;-x,-y,z;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2
22	a,b,c	F 2 2 2	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
23	a,b,c	I 2 2 2	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2
24	a,b,c	I 21 21 21	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z;x+1/2,y+1/2,z+1/2;-x,-y+1/2,z;-x+1/2,y,-z;x,-y,-z+1/2
25	a,b,c	P m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z
25	c,a,b	P 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z
25	b,c,a	P m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z
26	a,b,c	P m c 21	x,y,z;-x,-y,z+1/2;x,-y,z+1/2;-x,y,z
26	b,a,-c	P c m 21	x,y,z;-x,-y,z-1/2;-x,y,z-1/2;x,-y,z
26	c,a,b	P 21 m a	x,y,z;x+1/2,-y,-z;x+1/2,y,-z;x,-y,z
26	-c,b,a	P 21 a m	x,y,z;x-1/2,-y,-z;x-1/2,-y,z;x,y,-z
26	b,c,a	P b 21 m	x,y,z;-x,y+1/2,-z;-x,y+1/2,z;x,y,-z
26	a,-c,b	P m 21 b	x,y,z;-x,y-1/2,-z;x,y-1/2,-z;-x,y,z
27	a,b,c	P c c 2	x,y,z;-x,-y,z;x,-y,z+1/2;-x,y,z+1/2
27	c,a,b	P 2 a a	x,y,z;x,-y,-z;x+1/2,y,-z;x+1/2,-y,z
27	b,c,a	P b 2 b	x,y,z;-x,y,-z;-x,y+1/2,z;x,y+1/2,-z
28	a,b,c	P m a 2	x,y,z;-x,-y,z;x+1/2,-y,z;-x+1/2,y,z
28	b,a,-c	P b m 2	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z
28	c,a,b	P 2 m b	x,y,z;x,-y,-z;x,y+1/2,-z;x,-y+1/2,z
28	-c,b,a	P 2 c m	x,y,z;x,-y,-z;x,-y,z+1/2;x,y,-z+1/2
28	b,c,a	P c 2 m	x,y,z;-x,y,-z;-x,y,z+1/2;x,y,-z+1/2
28	a,-c,b	P m 2 a	x,y,z;-x,y,-z;x+1/2,y,-z;-x+1/2,y,z
29	a,b,c	P c a 21	x,y,z;-x,-y,z+1/2;x+1/2,-y,z;-x+1/2,y,z+1/2
29	b,a,-c	P b c 21	x,y,z;-x,-y,z-1/2;-x,y+1/2,z;x,-y+1/2,z-1/2
29	c,a,b	P 21 a b	x,y,z;x+1/2,-y,-z;x,y+1/2,-z;x+1/2,-y+1/2,z
29	-c,b,a	P 21 c a	x,y,z;x-1/2,-y,-z;x,-y,z+1/2;x-1/2,y,-z+1/2
29	b,c,a	P c 21 b	x,y,z;-x,y+1/2,-z;-x,y,z+1/2;x,y+1/2,-z+1/2
29	a,-c,b	P b 21 a	x,y,z;-x,y-1/2,-z;x+1/2,y,-z;-x+1/2,y-1/2,z
30	a,b,c	P n c 2	x,y,z;-x,-y,z;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2
30	b,a,-c	P c n 2	x,y,z;-x,-y,z;-x+1/2,y,z-1/2;x+1/2,-y,z-1/2
30	c,a,b	P 2 n a	x,y,z;x,-y,-z;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2
30	-c,b,a	P 2 a n	x,y,z;x,-y,-z;x-1/2,-y+1/2,z;x-1/2,y+1/2,-z
30	b,c,a	P b 2 n	x,y,z;-x,y,-z;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z
30	a,-c,b	P n 2 b	x,y,z;-x,y,-z;x,y-1/2,-z+1/2;-x,y-1/2,z+1/2
31	a,b,c	P m n 21	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y,z+1/2;-x,y,z
31	b,a,-c	P n m 21	x,y,z;-x,-y+1/2,z-1/2;-x,y+1/2,z-1/2;x,-y,z
31	c,a,b	P 21 m n	x,y,z;x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;x,-y,z
31	-c,b,a	P 21 n m	x,y,z;x-1/2,-y,-z+1/2;x-1/2,-y,z+1/2;x,y,-z
31	b,c,a	P n 21 m	x,y,z;-x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,y,-z
31	a,-c,b	P m 21 n	x,y,z;-x+1/2,y-1/2,-z;x+1/2,y-1/2,-z;-x,y,z
32	a,b,c	P b a 2	x,y,z;-x,-y,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
32	c,a,b	P 2 c b	x,y,z;x,-y,-z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
32	b,c,a	P c 2 a	x,y,z;-x,y,-z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
33	a,b,c	P n a 21	x,y,z;-x,-y,z+1/2;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z+1/2
33	b,a,-c	P b n 21	x,y,z;-x,-y,z-1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z-1/2
33	c,a,b	P 21 n b	x,y,z;x+1/2,-y,-z;x,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
33	-c,b,a	P 21 c n	x,y,z;x-1/2,-y,-z;x,-y+1/2,z+1/2;x-1/2,y+1/2,-z+1/2
33	b,c,a	P c 21 n	x,y,z;-x,y+1/2,-z;-x+1/2,y,z+1/2;x+1/2,y+1/2,-z+1/2
33	a,-c,b	P n 21 a	x,y,z;-x,y-1/2,-z;x+1/2,y,-z+1/2;-x+1/2,y-1/2,z+1/2
34	a,b,c	P n n 2	x,y,z;-x,-y,z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
34	c,a,b	P 2 n n	x,y,z;x,-y,-z;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
34	b,c,a	P n 2 n	x,y,z;-x,y,-z;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
35	a,b,c	C m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
35	c,a,b	A 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
35	b,c,a	B m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
36	a,b,c	C m c 21	x,y,z;-x,-y,z+1/2;x,-y,z+1/2;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z
36	b,a,-c	C c m 21	x,y,z;-x,-y,z-1/2;-x,y,z-1/2;x,-y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z-1/2;-x+1/2,y+1/2,z-1/2;x+1/2,-y+1/2,z
36	c,a,b	A 21 m a	x,y,z;x+1/2,-y,-z;x+1/2,y,-z;x,-y,z;x,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x,-y+1/2,z+1/2
36	-c,b,a	A 21 a m	x,y,z;x-1/2,-y,-z;x-1/2,-y,z;x,y,-z;x,y+1/2,z+1/2;x-1/2,-y+1/2,-z+1/2;x-1/2,-y+1/2,z+1/2;x,y+1/2,-z+1/2
36	b,c,a	B b 21 m	x,y,z;-x,y+1/2,-z;-x,y+1/2,z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y,-z+1/2
36	a,-c,b	B m 21 b	x,y,z;-x,y-1/2,-z;x,y-1/2,-z;-x,y,z;x+1/2,y,z+1/2;-x+1/2,y-1/2,-z+1/2;x+1/2,y-1/2,-z+1/2;-x+1/2,y,z+1/2
37	a,b,c	C c c 2	x,y,z;-x,-y,z;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
37	c,a,b	A 2 a a	x,y,z;x,-y,-z;x+1/2,y,-z;x+1/2,-y,z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
37	b,c,a	B b 2 b	x,y,z;-x,y,-z;-x,y+1/2,z;x,y+1/2,-z;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
38	a,b,c	A m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2
38	b,a,-c	B m m 2	x,y,z;-x,-y,z;-x,y,z;x,-y,z;x+1/2,y,z-1/2;-x+1/2,-y,z-1/2;-x+1/2,y,z-1/2;x+1/2,-y,z-1/2
38	c,a,b	B 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2
